Uber Type,City/Area Name,Market Name,State,Date Entered-Soft,Date Entered-Official,Date Left,Date Entered 2nd,Date Left 2nd,Source 1,Source 2,Source 3,Source 4,Notes
UberX,San Bernardino,Inland Empire,CA,,29-May-14,,,,https://newsroom.uber.com/us-california/ie-your-uber-has-arrived-and-its-free/,,,,
UberX,Temecula,Inland Empire,CA,,29-May-14,,,,https://newsroom.uber.com/us-california/ie-your-uber-has-arrived-and-its-free/,,,,
UberBlack,Los Angeles,Los Angeles,CA,,8-Mar-12,,,,https://newsroom.uber.com/us-california/uber-la-officially-launched/,,,,
UberX,Los Angeles,Los Angeles,CA,,14-Mar-13,,,,https://twitter.com/Uber_LA/status/312402258543382529,This is also consistent with the Internet Archive,,,
UberX,Modesto,Modesto,CA,,2-Apr-14,,,,https://newsroom.uber.com/us-california/modesto-were-moving-in/,,,,
UberBlack,,Orange County,CA,,?,?,,,,,,,
UberX,,Orange County,CA,,13-Sep-13,,,,https://newsroom.uber.com/us-california/orange-county-uberx-rider-zero-tamra-and-eddie-judge/,,,,
UberBlack,Palm Springs,Palm Springs,CA,,3-Apr-14,,,,https://newsroom.uber.com/us-california/were-arriving-in-the-desert-for-festival-season/,,,,
UberX,Palm Springs,Palm Springs,CA,,3-Apr-14,,,,https://newsroom.uber.com/us-california/were-arriving-in-the-desert-for-festival-season/,,,,
UberX,Chico,Sacramento,CA,,8-Oct-15,,,,https://newsroom.uber.com/us-california/chico-your-uberx-has-arrived/,,,,
UberBlack,Sacramento,Sacramento,CA,,14-Feb-13,,,,https://newsroom.uber.com/us-california/uber-and-sacramento-a-romance-for-the-ages/,,,,
UberX,Sacramento,Sacramento,CA,,30-Sep-13,,,,http://www.bizjournals.com/sacramento/news/2013/09/30/uber-now-offering-ridesharing-service.html,,,,
UberBlack,San Diego,San Diego,CA,,8-Jun-12,,,,https://newsroom.uber.com/us-california/san-diego-launch/,,,,
UberX,San Diego,San Diego,CA,,9-May-13,,,,https://newsroom.uber.com/us-california/uberxsd/,,,,
UberBlack,San Francisco,San Francisco,CA,21-Mar-10,21-May-10,,,,http://uberestimate.com/timeline/?p=5,http://uberestimate.com/timeline/?p=13,,,
UberX,San Francisco,San Francisco,CA,3-Jul-12,18-Jan-13,,,,https://newsroom.uber.com/us-california/sf-vehicle-choice/,https://newsroom.uber.com/us-california/same-class-less-cash-uber-sf-lowers-prices-2/,,,
UberBlack,San Jose,San Francisco,CA,,13-Feb-12,,,,https://twitter.com/Uber_SF/status/169151902259478528,https://twitter.com/rjweeks70/status/267029603107864577,,,
UberX,San Jose,San Francisco,CA,,24-Jul-13,,,,http://www.mercurynews.com/ci_23722350/uberx-launches-silicon-valley,https://twitter.com/LindseyPeters_/status/360416838422769665,https://twitter.com/Uber_SV/status/360092217924276224,,
UberX,Monterey Bay,San Francisco Bay Area,CA,,4-Feb-14,,,,https://newsroom.uber.com/us-california/monterey-bay-and-santa-cruz-expansion/,,,,
UberX,Santa Cruz,San Francisco Bay Area,CA,,4-Feb-14,,,,https://newsroom.uber.com/us-california/monterey-bay-and-santa-cruz-expansion/,,,,
UberX,Santa Rosa,San Francisco Bay Area,CA,,12-May-14,,,,https://newsroom.uber.com/us-california/uber-napa-a-perfect-pair-3/,,,,
UberX,San Luis Obispo,San Luis Obispo,CA,,17-Jul-14,,,,https://newsroom.uber.com/us-california/san-luis-obispo-and-ventura-county-your-uber-has-arrived-2/,,,,
UberX,Santa Barbara,Santa Barbara,CA,,31-Oct-13,,,,https://newsroom.uber.com/us-california/uber-has-offically-launched-in-santa-barbara/,,,,
UberX,Oxnard,Ventura,CA,,17-Jul-14,,,,https://newsroom.uber.com/us-california/san-luis-obispo-and-ventura-county-your-uber-has-arrived-2/,,,,
UberX,Simi Valley,Ventura,CA,,17-Jul-14,,,,https://newsroom.uber.com/us-california/san-luis-obispo-and-ventura-county-your-uber-has-arrived-2/,,,,
UberX,Thousand Oaks,Ventura,CA,,17-Jul-14,,,,https://newsroom.uber.com/us-california/san-luis-obispo-and-ventura-county-your-uber-has-arrived-2/,,,,
UberX,Boulder,Denver,CO,,27-Aug-14,,,,https://newsroom.uber.com/us-colorado/uber-colorado-expands-to-fort-collins-boulder-with-uberx-free-weekend/,,,,
UberX,Colorado Springs,Denver,CO,,2-May-14,,,,https://newsroom.uber.com/us-colorado/uber-launches-in-colorado-springs-with-free-rides-for-2-weeks/,,,,
UberBlack,Denver,Denver,CO,,7-Sep-12,,,,https://newsroom.uber.com/us-colorado/denver-launch-sky-high-in-the-mile-high-city/,,,,
UberX,Denver,Denver,CO,,4-Oct-13,,,,https://newsroom.uber.com/us-colorado/denver-meet-uberx/,,,,
UberX,Fort Collins,Denver,CO,,27-Aug-14,,,,https://newsroom.uber.com/us-colorado/uber-colorado-expands-to-fort-collins-boulder-with-uberx-free-weekend/,,,,
UberBlack,Hartford,Connecticut,CT,,22-Jul-14,,,,https://twitter.com/Uber_CONN/status/491674746111528960?lang=en,,,,
UberX,Hartford,Connecticut,CT,,22-Jul-14,,,,https://twitter.com/Uber_CONN/status/491674746111528960?lang=en,,,,
UberBlack,New Haven,Connecticut,CT,,24-Apr-14,,,,https://newsroom.uber.com/us-connecticut/uber-connecticut-launches-with-free-rides-for-3-weeks/,,,,
